Sıra No,Arapça,Ravi,Meal,Kaynak
910,,İbni Abbas (Allah Onlardan razı olsun)’dan,"İbni Abbas (Allah Onlardan razı olsun)’dan rivayet edildiğine göre Ali ibni  Ebu Talib (Allah Ondan raz ı olsun) Rasûlullah (sallallahu  aleyhi vesellem)’in vefat  ettiği hastal ığı zaman ında yan ından ç ıktı. sahabiler: - Ey Ebul Hasan Rasûlullah  (sallallahu aleyhi vesellem) nas ıl oldu, geceyi nas ıl geçirdi? Dediler. O da: “Allah’a  hamdolsun iyi geçirdi” dedi. (Buhari, Megazi 83)    BÖLÜM: 147  ÖLECEĞİNİ ANLAYANIN YAPACAĞI DUA                 W K",
911,,,"Aişe (Allah Ondan raz ı olsun)şöyle demiştir: Peygamber (sallallahu aleyhi  vesellem) bana yaslanarak: “Allah’ım beni ba ğışla, bana merhamet et ve beni Refiki  A’la’ya = Yani yüce dostun makam ı olan kendi kat ına kavu ştur” diye dua etti ğini  duydum. (Buhari, Merza 19)          K",
912,,,"Yine Ai şe (Allah Ondan raz ı olsun) şöyle demiştir: Rasûlullah (sallallahu  aleyhi vesellem)’i ölüm dö şeğinde yan ı ba şındaki su kab ına elini dald ırıp yüzüne  sürerken gördüm. O böyle yap ıyor sonra da: “Allah’ ım ölümün şiddet ve  baygınlıklarına karşı bana yardım et” diye dua ediyordu. (Tirmizi, Cenaiz 7)    BÖLÜM: 148  HASTAYA VE ÖLÜMÜ YAKIN OLDUĞU TAHMİN EDİLENLERE İYİ  MUAMELE ETMEK    t            W           K           K",
913,,Imran ibni Husayn (Allah Onlardan raz ı olsun),"Imran ibni Husayn (Allah Onlardan raz ı olsun)’dan rivayet olundu ğuna  göre Cüheyne kabilesinden bir kad ın zina sonucu gebe kalm ış oldu ğu halde  Rasûlullah (sallallahu aleyhi vesellem)’e geldi ve:  - Ey Allah’ın Rasulü had cezasını gerektiren bir suç işledim, cezamı ver, dedi.   Bunun üzerine Rasûlullah (salla llahu aleyhi vesellem) o kad ının velisini  çağırtıp getirtti ve ona: “Bu kad ına iyi bak çocu ğunu do ğurunca bana getir”  buyurdu.   Adam bu işleri gereği gibi yaptı ve doğumdan sonra kadını getirdi. Rasûlullah  (sallallahu aleyhi vesellem) kad ının üzerine elbisesinin iyice ba ğlanmasını emretti.  Sıkı sıkı bağladılar. Sonra da peygamberin emri üzerine ta şlanarak öldürüldü. Sonra  da Rasûlullah (sallallahu aleyhi vesellem) kad ının cenaze namaz ını k ıldı. (Müslim,  Hudud 24)","Müslim,  Hudud 24"
914,)     BÖLÜM: 149  HASTANIN HASTALIĞININ ŞİDDETİNİ ANLATMASI                 W               K,İbni Mes’ud (Allah Ondan raz ı olsun),"İbni Mes’ud (Allah Ondan raz ı olsun)’den rivayet olunmu ştur. Bir gün  Peygamber (sallallahu aleyhi vesellem)’in yanına girdim. S ıtmadan titriyordu. Elimi  vücuduna dokundurdum ve: Şiddetli ate şiniz var, s ıtma nöbetine tutulmu şsunuz,  dedim.   - Evet sizden iki ki şinin yakaland ığı s ıtmanın şiddeti kadar s ıtmaya  yakalandım ve ızdırap çekiyorum, buyurdular. (Buhari, Merda 13, Müslim, Birr 45)","Buhari, Merda 13, Müslim, Birr 45"
915,J                   K,Sa’d ibni Ebu Vakkas (Allah Ondan razı olsun),"Sa’d ibni Ebu Vakkas (Allah Ondan razı olsun)’den rivayet edildiğine göre  şöyle demi ştir. Yakaland ığım şiddetli bir hastal ık dolay ısıyla Rasûlullah (sallallahu  aleyhi vesellem) ziyaretime geldi. Ona “Gördü ğün gibi çok rahats ızım ve zengin bir  adamım bir tek k ızımdan ba şka mirasç ım da yok...” (Hadisin tamam ını anlatt ı)  (Buhari, Cenaiz 36 Müslim, Vesaya 5)","Buhari, Cenaiz 36 Müslim, Vesaya 5"
916,     K,Kas ım ibni Muhammed (Allah Ondan raz ı olsun),"Kas ım ibni Muhammed (Allah Ondan raz ı olsun)’den rivayet edildi ğine  göre şöyle demi ştir. Ai şe (Allah Ondan raz ı olsun) bir keresinde şiddetli bir ba ş  ağrısına tutuldu ğundan dolay ı: “Vay ba şıma ölüyorum” demi şti. Peygamber  (sallallahu aleyhi vesellem)’de: As ıl ben vay ba şım demeliyim, buyurdu. (Buhari,  Merda 16)    BÖLÜM: 150  ÖLMEK ÜZERE OLANA KELİME-İ TEVHİD TELKİN ETMEK   J    K",
917,,Muaz (Allah Ondan raz ı olsun),"Muaz (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre Rasûlullah  (sallallahu aleyhi vesellem) şöyle buyurdu: “Kimin son sözü “Allah’tan başka gerçek  tanrı yoktur = La ilahe illallah” olursa o kişi cennete girer.” (Ebu Davud, Cenaiz 20)              K",
918,,Ebu Said el Hudri (Allah Ondan raz ı olsun),"Ebu Said el Hudri (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu:“Ölmek üzere olanlar ınıza la  ilahe illallah demeyi telkin ediniz.” (Müslim,Cenaiz 1)","Müslim,Cenaiz 1"
919,BÖLÜM: 151  ÖLÜNÜN GÖZÜ KAPATILDIKTAN SONRA NE SÖYLENİR                                         W        K,Ümmü Seleme (Allah Ondan raz ı olsun)’dan,"Ümmü Seleme (Allah Ondan raz ı olsun)’dan rivayet edildiğine göre şöyle  demiştir: Rasûlullah (sallallahu aleyhi vesellem) vefat etmi ş olan Ebu Seleme’nin  yanına girdi. Gözleri aç ık kalm ıştı. Onlar ı kapat ıp şöyle buyurdu: “Ruh ç ıkınca  gözler onu izler.” Tam bu s ırada Ebu Seleme’nin ailesinden bir grup ç ığlık koparıp  ağlamaya başladılar. Bunun üzerine Rasûlullah (sallallahu aleyhi vesellem):  “Kendisine hayırla dua ediniz. Çünkü melekler duan ıza amin derler” buyurdu  ve şöyle devam etti: “Allah’ ım Ebu Seleme’yi ba ğışla derecesini hidayete ermi şler  seviyesine yükselt. Geri kalanlar aras ından hay ırlı kimseler b ırak. Ey alemlerin  Rabbi, bizi de onu da bağışla, kabrini genişlet ve aydınlat.” (Müslim, Cenaiz 7)","Müslim, Cenaiz 7"
920,BÖLÜM: 152  ÖLÜNÜN BAŞINDA SÖYLENECEK SÖZ                       K   W              K,Ümmü Seleme (Allah Ondan raz ı olsun),"Ümmü Seleme (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Hasta ve ölünün ba şında  bulunduğunuzda güzel sözler söyleyiniz . Zira melekler sizin dualar ınıza amin  derler.” Ümmü Seleme (Allah Ondan raz ı olsun) dedi ki: Ebu Seleme vefat edince  Rasûlullah (sallallahu aleyhi ve sellem)’e geldim ve: Ey Allah’ın Rasulü, Ebu Seleme  öldü, dedim. Rasûlullah (sa llallahu aleyhi vesellem) şöyle buyurdu: “Allah’ım beni  ve onu ba ğışla, onun yerine ondan daha iyisini ver diye dua et” dedi. Ben de  peygamberin dedi ği gibi yapt ım da Allah buna Ebu Seleme’den daha hay ırlı olan  Muhammed (sallallahu aleyhi vesellem)’i eş olarak verdi. (Müslim, Cenaiz 6)","Müslim, Cenaiz 6"
921,                   K,Yine Ümmü Seleme (Allah Ondan raz ı olsun),"Yine Ümmü Seleme (Allah Ondan raz ı olsun)’dan rivayete göre şöyle  demiştir. Rasûlullah (sallallahu aleyhi vesellem)’i şöyle buyururken dinledim.  “Herhangi bir kul s ıkıntıya düşer de inna lillah ve inna ileyhi râciûn = Biz Allah’ ın  mülkündeyiz ve ona dönece ğiz. Ey Allah’ım uğradığım musibetin ecrini ver ve bana  bunun daha hay ırlısını lutfet diye dua ederse Allah, onu u ğradığı sıkıntıdan dolayı  mükafatlandırır ve ona kaybettiğinden daha hayırlısını verir.”  Ümmü Seleme dedi ki: Ebu Seleme öldü ğü vakit ben Rasûlullah (sallallahu  aleyhi vesellem)’in ö ğrettiği gibi dua ettim. Allah ta bana Ebu Seleme’den daha  hayırlısını yani, Rasûlullah (sallallahu aleyhi vesellem)’i e ş olarak verdi. (Müslim,  Cenaiz 4)","Müslim,  Cenaiz 4"
922,J     W  K,Ebu Musa (Allah Ondan raz ı olsun),"Ebu Musa (Allah Ondan raz ı olsun)'den rivayet edildiğine göre Rasûlullah  (sallallahu aleyhi vesellem) şöyle buyurdu: Bir kulun çocu ğu ölünce Allah  meleklerine şöyle der:  - Kulumun çocuğunun ruhunu mu kabzettiniz? buyurur. Melekler:  - Evet, derler. Allah:  - Kulumun ci ğerparesini gönlünün meyvesini mi kopard ınız? Buyurur.  Melekler:  - Evet, derler. Allah:   - Peki kulum ne dedi, buyurur. Melekler:   - Sana hamdetti ve inna lillah ve inna ileyh i râciûn = Biz senin mülkündeyiz ve  sana döneceğiz dedi, derler. Bunun üzerine Allah:   - O halde kulum için cennette bir ev yap ın ve ad ını da hamd evi koyun,  buyurur. (Tirmizi, Cenaiz 36))   J       K",
923,,Ebu Hüreyre (Allah Ondan raz ı olsun),"Ebu Hüreyre (Allah Ondan raz ı olsun)’den rivayet edildi ğine göre  Rasûlullah (sallallahu al eyhi vesellem), Allah’ ın şöyle buyurdu ğunu söylemi ştir:  “Mü’min bir kulumun dünyada sevdiklerinden birini ald ığım zaman buna sabredip  sevabını Allah’tan beklerse onun mükafatı ancak cennettir.” (Buhari, Rikak 6)   J                                                   K",
924,,Üsame ibni Zeyd (Allah Ondan raz ı olsun),"Üsame ibni Zeyd (Allah Ondan raz ı olsun)’dan rivayet edildi ğine göre  şöyle demi ştir. Rasûlullah’ın k ızlarından biri olan Zeyneb Peygamber (sallallahu  aleyhi vesellem)’e adam göndererek çocuğunu veya oğlunun ölmek üzere oldu ğunu  haber verdi. Rasûlullah (sallallahu aleyhi vesellem) haber getiren kimseye:  “Ona dön ve şunu bildir ki, veren de alan da Allah’tır. Onun katında her şeyin  belli bir vakti vard ır. Sabretsin ve Allah’tan ecrini  beklesin” buyurdu. (Buhari,  Cenaiz 33, Müslim Cenaiz 9)","Buhari,  Cenaiz 33, Müslim Cenaiz 9"
925,BÖLÜM: 153  BAĞIRIP ÇAĞIRMADAN ÖLÜYE AĞLAMAK                t                              K,İbni Ömer (Allah Onlardan raz ı olsun),"İbni Ömer (Allah Onlardan raz ı olsun)'den rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) yan ında Abdurrahman ibni Avf, Sa’d ibni  Ebu Vakkas ve Abdullah ibni Mes’ud (Allah Onlardan raz ı olsun) bulundu ğu halde  Sa’d ibni Ubade’yi ziyaret etti onu a ğır hasta görünce Peygamber (sallallahu aleyhi  vesellem) a ğladı. Peygamber (sallallahu aleyhi vesellem)’in a ğladığını gören Ashab  da ağladılar. Bunun üzerine Peygamber (sallallahu aleyhi vesellem): “Bilmez misiniz,  gerçekten Allah gözya şı ve kalbin elemi sebebiyle ki şiye azap etmez fakat –dilini  işaret ederek- bunun yüzünden ölüye ya azab eder ya da merhamet” buyurdu.  (Buhari, Cenaiz 44, Müslim Cenaiz 2)","Buhari, Cenaiz 44, Müslim Cenaiz 2"
926,J              >       K,,"Üsame ibni Zeyd (Allah Ondan raz ı olsun)dan rivayete göre Rasûlullah  (sallallahu aleyhi vesellem)e k ızının ölüm halinde bulunan o ğlunu getirdiler  Peygamber (sallallahu aleyhi vesellem)in gözleri doldu. Bunun üzerine Sa’d ibni  Ubade:   - Ey Allah’ ın Rasûlü bu ne haldir? deyinc e Peygamber (sallallahu aleyhi  vesellem):   - Bu Allah’ın kullarının kalbine koydu ğu acıma duygusudur. Rahmettir. Allah  ancak yumu şak kalbli kullar ına merhamet eder. buyurdu. (Buhari, Cenaiz 33,  Müslim Cenaiz 9)","Buhari, Cenaiz 33,  Müslim Cenaiz 9"
927,J                        W                   K,,"Enes (Allah Ondan raz ı olsun)den rivayet edildi ğine göre Rasûlullah  (sallallahu aleyhi vesellem) ru hunu teslim etmek üzere olan o ğlu İbrahim’in yanına  girince gözlerinden yaşlar boşanmaya başladı bunun üzerine Abdurrahman ibni Avf  –Ey Allah’ın Rasulü sizde mi? a ğlıyorsunuz diye sordu Peygamber (sallallahu aleyhi  vesellem)de ona: “Ey ibni Avf bu gördü ğün gözya şları rahmet ve şefkat eseridir”  cevabını vererek şunları i l a v e  e t t i  “ G ö z  y aşarır kalb hüzünlenir. Biz ancak  Rabbimizin raz ı olaca ğı sözleri söyleriz. Ey İbrahim seni kaybetmekten dolay ı  gerçekten üzgünüz. (Buhari, Cenaiz 43)    BÖLÜM: 154 ÖLENİN HALİNİ GİZLEMEK   W              K",
928,,,"Peygamber (sallallahu aleyhi vesellem)in azad etti ği Ebu Rafi Eslem (Allah  Ondan razı olsun)den rivayet edildi ğine göre Rasûlullah (sallallahu aleyhi vesellem)  şöyle buyurdu: “Bir kimse ölüyü y ıkar da onda görülen ho şa gitmeyen halleri gizli  tutarsa Allah o kimseyi kırk kere bağışlar.” (Hakim Müstedrek I, 362)     BÖLÜM: 155  CENAZE NAMAZI KILMAK    J            W K",
929,,,"Ebu Hureyre (Allah Ondan raz ı olsun)den rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Kim bir cenazede, cenaze  namazı k ılıncaya kadar bulunursa bir ölçek, gömülünceye kadar kal ırsa iki ölçek  sevap al ır” İki ölçek ne kadard ır? diye sordular Rasûlu llah (sallallahu aleyhi  vesellem): “ İki büyük da ğ kadard ır” cevab ını verdi. (Buhari, Cenaiz 59, Müslim  Cenaiz 52)","Buhari, Cenaiz 59, Müslim  Cenaiz 52"
930,          K,,Yine Ebu Hureyre (Allah Ondan raz ı olsun)den rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Kim sevab ına inanarak  karşılığını da sadece Allah’tan bekleyerek bir müslüman cenazesi ile birlikte gider ve  namazı kılınıp gömülünceye kadar beklerse her biri Uhud da ğı kadar olan iki ölçek  sevabla döner. Yine bir kimse cenaze namaz ını k ılıp defnolunmadan ayr ılırsa bir  ölçek sevabla döner.” (Buhari iman 35)                K,
931,,Ümmü Atiyye (Allah Ondan raz ı olsun)’dan,"Ümmü Atiyye (Allah Ondan raz ı olsun)’dan rivayet edildiğine göre şöyle  demiştir. “Biz kad ınlara cenazeyi takip etmek yasakland ı fakat kesin olarak da  haram kılınmadı.” (Buhari Cenaiz 29, Müslim Cenaiz 34)","Buhari Cenaiz 29, Müslim Cenaiz 34"
932,BÖLÜM: 156  CENAZE NAMAZINDA SAFLARIN DURUMU    W                 K,Ai şe (Allah Ondan raz ı olsun),Ai şe (Allah Ondan raz ı olsun)’dan rivayet edildi ğine göre Rasûlullah  (sallallahu aleyhi vesellem) şöyle buyurdu: “Bir müslüman ölüye say ıları yüze varan  bir cemaat namaz k ılar ve ölü hakk ında hay ırlı şahidlikte bulunup şefaat ederlerse  onların bu duaları kabul olunur.” (Müslim Cenaiz 58),Müslim Cenaiz 58
933,    W                                                     K,İbni Abbas (Allah Onlardan raz ı olsun),İbni Abbas (Allah Onlardan raz ı olsun)’dan rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyururken dinledim dedi. “Bir  müslüman ölür de cenaze namaz ını Allah’a şirk ko şmayan k ırk ki şi k ılarsa Allah  onların cenaze hakkındaki dualarını kabul eder.” (Müslim Cenaiz 59),Müslim Cenaiz 59
934,   W                          K,Mersed ibni Abdullah el-Yezeni,"Mersed ibni Abdullah el-Yezeni’den rivayet edildiğine göre şöyle demiştir.  Malik ibni Hübeyre (Allah Ondan raz ı olsun) cenaze namaz ı kılacağı zaman cemaati  az bulursa onlar ı üç saf haline getirir ve şöyle derdi: Rasûlullah (sallallahu aleyhi  vesellem) “Üç saf cemaatin cenaze namaz ını k ıldığı ki şi cenneti hak etmi ştir.”  Buyurdu. (Ebu Davut Cenaiz 39, Tirmizi Cenaiz 40)   BÖLÜM: 157  CENAZE NAMAZINDA OKUNACAK DUALAR                                 E          K",
935,,,"Ebu Abdurrahman Avf ibni Malik (Allah Ondan raz ı olsun)den rivayet  edildiğine göre şöyle demi ştir. Rasûlullah (sallallahu aleyhi vesellem) bir cenaze  namazı kıldı onun şöyle dua ettiğini duydum ve ezberledim:   “Allah’ım onu ba ğışla, ona rahmet, et onu azap ve s ıkıntılardan koru  kusurlarını affet, cennetten nasibini ikram et, girece ği yeri (kabrini) geni şlet, su, buz  ve kar ile onun günahlarını yıka tertemiz yap, beyaz elbiseyi kirden temizler gibi onu  hatalarından temizle, kendi evinden daha hay ırlı bir ev, ailesinden daha hay ırlı bir  aile, eşinden daha hay ırlı bir e ş, ver onu cennete koy, kabir ve cehennem azab ından  koru.”   İbni Avf diyor ki: Bu güzel dualar ı duyunca “”ke şke ölen ben olayd ım” diye  içimden geçirdim. (Müslim Cenaiz 85)",Müslim Cenaiz 85
936,        J             J                              K,,"Ebu Hureyre, Ebu Kafade, ve İbrahim el E şhelî oda babas ından (babas ı  sahabidir) (r.anhüm)den rivayet edildi ğine göre peygamber (sallallahu aleyhi  vesellem) bir cenaze namazı kıldı ve şöyle dua etti.   “Allah’ım dirilerimizi ve ölülerimizi, küçüklerimizi ve büyüklerimizi,  erkeklerimizi ve kad ınlarımızı, burada bulunanlar ımızı ve bulunmayanlar ımızı  bağışla. Allah’ım bizden hayatta b ırakacaklarını İslam üzere ya şat, öldüreceklerini  iman üzere öldür. Bizi bu cenazede bulunman ın sevabından mahrum etme ve ondan  sonra da bizi fitneye düşürme.” (Tirmizi Cenaiz 38)  J     K",
937,,,Ebu Hureyre (Allah Ondan raz ı olsun)den rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyururken dinledim demiştir. “Cenaze  namazını kıldığınız zaman ölen kimseye samimi bir ka lble dua ediniz.” (Ebu Davut  Cenaiz 56)                                K,
938,,,"Yine Ebu Hureyre (Allah Ondan raz ı olsun)den rivayet edildi ğine göre  Peygamber (sallallahu aleyhi vesellem) bir cenaze namazında şöyle dua etmiştir.   “Allah’ım bu cenazenin Rabbi sensin. Bunu sen yaratt ın, islama sen ula ştırdın  şimdi onun ruhunu da sen ald ın. Onun gizli ve aç ık hallerini en iyi sen bilirsin. Biz  ona şefaatçi olabilmek hay ırlı şahitlikler yapmak için geldik. Sen onu ba ğışla.” (Ebu  Davut Cenaiz 56)                           K",
939,,,"Vâsile ibnül Eska (Allah Ondan raz ı olsun)den rivayet edildi ğine göre  şöyle demiştir: Rasûlullah (sallallahu aleyhi ve sellem) bize müslümanlardan birinin  cenaze namazını kıldırmıştı. Onun şöyle dua etti ğini duydum: “Allah’ım falan o ğlu  falan sana emanettir ve senin güvencen alt ındadır. Onu kabir fitnesinden ve  cehennem azabından koru sen sözünde duran ve hamde lay ık olansın. Allah’ım onu  bağışla ve ona merhamet et, şüphesiz sen tek bağışlayan ve merhamet edensin.” (Ebu  Davut Cenaiz 56)               W                             W    K",
940,,Abdullah ibni Ebu Evfa (Allah Ondan raz ı olsun),"Abdullah ibni Ebu Evfa (Allah Ondan raz ı olsun)’dan rivayet edildi ğine  göre O kızının cenaze namaz ında dört defa tekbir ald ı dördüncü tekbirden sonra iki  tekbir arasında durduğu kadar durup, k ızının bağışlanmasını diledi ve ona dua etti.  Sonra da Rasûlullah (sallallahu aleyhi vesellem) böyle yapardı dedi.   *Başka bir rivayette şöyledir. Dört tekbir ald ıktan sonra o kadar bekledi ki biz  onun be şinci defa tekbir alaca ğını sand ık, sonra sa ğına ve soluna selam verdi.  Namazdan sonra Bu yapt ığın nedir? dedik. O da bize Rasûlullah (sallallahu aleyhi  vesellem)’in yaptığını gördü ğüm şeye bir ilave yapm ış de ğilim, ya da Rasûlullah  (sallallahu aleyhi vesellem) böyle yapard ı diye cevap verdi. (Hakim el Müstedrek, I,  360)    BÖLÜM: 158  CENAZEYİ HIZLICA TAŞIMAK    J              W              K",
941,,,"Ebu Hureyre (Allah Ondan raz ı olsun)den rivayet edildi ğine göre  Peygamber (sallallahu aleyhi vesellem) şöyle buyurdu “Cenazeyi h ızlıca götürün,  eğer o iyi bir kimse ise bu onun için bir hay ırdır onu bir an evvel kabirdeki hay ır ve  sevabına kavu şturmuş olursunuz. E ğer iyi bir ki şi de ğilse bu da bir şerdir, onu  çabucak omuzlarınızdan atmış olursunuz.” (Buhari Cenaiz 51, Müslim Cenaiz 50)","Buhari Cenaiz 51, Müslim Cenaiz 50"
942,*Müslimin di ğer bir rivayetinde “Hayra onu kavu şturmuş olursunuz.”  denilmiştir.                      K,,"Ebu Said el Hudrî (Allah Ondan raz ı olsun)den rivayet edildi ğine göre  peygamber (sallallahu aleyhi vesellem) şöyle buyurdu: “Ölü tabuta konulup ta  erkekler onu omuzlar ına ald ıkları zaman e ğer o iyi bir ki şi ise: “beni bir an önce  yerime ula ştırınız!”der. E ğer iyi biri de ğilse, eyvah beni bu tabut ile nereye  götürüyorsunuz diye feryad eder. Ölünün bu sesleni şini insanlardan ba şka her  yaratık duyar. E ğer insan bu sözleri i şitecek olsayd ı deh şetten dü şüp bay ılırdı.”  (Buhari Cenaiz 50)     BÖLÜM: 159  CENAZENİN BORCUNU HEMEN ÖDEMEK    J                   K",
943,,Ebu Hureyre (Allah Ondan raz ı olsun),Ebu Hureyre (Allah Ondan raz ı olsun)’den rivayet edildi ğine göre  Peygamber (sallallahu aleyhi vesellem) şöyle buyurdu “Müminin ruhu borcu  ödeninceye kadar ona bağlı kalır.” (Tirmizi Cenaiz 74)   J                    K,
944,,,"Husayn ibni Vahvah (Allah Ondan raz ı olsun)dan rivayet edildi ğine göre  Talha ibni’l-Bera ibn-il Azib (Allah Ondan raz ı olsun) hastalanm ıştı peygamber  (sallallahu aleyhi vesellem) onu ziyarete geldi ç ıkarken şöyle buyurdu “Talha’ya  ölümün yaklaştığını görüyorum, ölecek olursa bana haber verin, defn ve tekfin i şini  çabuklaştırın, çünkü bir müslümanın ölüsünün ailesi önünde uzun zaman bekletmek  uygun değildir.” (Ebu Davut Cenaiz 34)    BÖLÜM: 160  KABİR BAŞINDA ÖĞÜT VERMEK    J             W           K",
945,,Ali (Allah Ondan razı olsun)den,"Ali (Allah Ondan razı olsun)den rivayet edildiğine göre şöyle demiştir.   Bakîu’l Garkad kabristanında bir cenazenin defni için bulunuyorduk bu arada  Rasûlullah (sallallahu aleyhi vesellem) elinde baston oldu ğu halde yan ımıza geldi  oturdu. Biz de çevresine oturduk. Ba şını e ğip dü şündü. Bastonuyla yere bir şeyler  çizmeye ba şladı ve sonra şöyle diyordu “Sizden hiçbir kimse yok ki cennet ve  cehennemde yerleri yazılı olmasın.”   - Ey Allah’ ın Rasûlü biz hakk ımızdaki o yaz ıya güvenip hay ırlı amelleri  bırakalım mı?dediler. Peygamber (sallallahu aleyhi vesellem):   - Hayır siz hayırlı ameller işleyerek görevinizi yapmaya bakınız. Herkes ne için  yaratıldı ise onu kolayca elde eder.” Buyurdu. Ravi hadisin tamam ını anlattı. (Buhari  Cenaiz 83, Müslim Kader 8)","Buhari  Cenaiz 83, Müslim Kader 8"
946,BÖLÜM: 161  DEFİNDEN SONRA KABİR BAŞINDA DUA    W   J            ،    K,Ebu Abdullah veya Ebu leyla künyes iyle de bilinen Ebu Amr Osman ibni  Affan (Allah Ondan razı olsun)dan,Ebu Abdullah veya Ebu leyla künyes iyle de bilinen Ebu Amr Osman ibni  Affan (Allah Ondan razı olsun)dan rivayet edildiğine göre şöyle demiştir:   Rasûlullah (sallallahu aleyhi vesellem)  bir ölü defnedildikten sonra kabri  başında durdu ve şöyle buyurdu: “Karde şinizin ba ğışlanmasını isteyiniz Kabir  sorularına cevap vermekte ona ba şarılar dileyiniz çünkü o şu anda  sorgulanmaktadır.” (Ebu Davut Cenaiz 9)                     K,
947,,Amr İbn-il Âs (Allah Onlardan razı olsun)den,"Amr İbn-il Âs (Allah Onlardan razı olsun)den rivayet edildiğine göre şöyle  demiştir. “Beni kabrime defnettiğiniz zaman, bir deve kesip etini parçalayacak kadar  mezarımın ba şında bekleyin k,i sizin varl ığınızla yeni hayat ıma al ışma imkan ı  bulayım ve Rabbimin elçilerine verece ğim cevaplar ı haz ırlayayım.” (Müslim İman  192)",Müslim İman  192
948,BÖLÜM: 162  ÖLÜ İÇİN SADAKA VERİP DUA ETMEK    W                                “Muhacir ve Ensar denilen ilk müsl ümanlardan sonra gelenler: Ey Rabbimiz!  diye yalvar ırlar: “Bizi ve bizden önce iman etmi ş olan karde şlerimizi ba ğışla.” (59  Haşr 10)                W  K,Ai şe (Allah Ondan raz ı olsun),"Ai şe (Allah Ondan raz ı olsun)’dan rivayet edildi ğine göre peygamber  (sallallahu aleyhi vesellem)’e bir adam: - Annem ansızın öldü. Zannediyorum ki eğer  konuşabilseydi sadaka verilmesini vasiyet ederdi. Şimdi ben onun ad ına sadaka  versem sevabı ona var ır mı? diye sordu. Peygamber (sallallahu aleyhi vesellem)’de:  Evet, cevabını verdi. (Buhari, Cenaiz 95, Müslim, Zekat 51)","Buhari, Cenaiz 95, Müslim, Zekat 51"
949,J                    K,Ebu Hüreyre (Allah Ondan raz ı olsun),"Ebu Hüreyre (Allah Ondan raz ı olsun)'dan rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Bir insan ölünce ameli  kesilir, defteri kapanır. Ancak şu üç grubun defterleri kapanmaz;          (1) Sadakai cariye: Kullan ım ve sevab ı devam eden sadakalar, vak ıflar  (çeşme, cami, yol, köprü, vs. gibi)           (2) Kendisinden istifade edilen ilim           (3) Ölünün ardından dua eden hayırlı evlat.”     BÖLÜM: 163  MÜSLÜMAN ÖLÜLERİ HAYIRLA ANMAK    J W                     K",
950,,,"Enes (Allah Ondan raz ı olsun) şöyle demi ştir: Günün birinde Rasûlullah  (sallallahu aleyhi vesellem)’in yan ından cenaze ile geçtiler. Sahabe de onu hay ırla  andılar. Bunun üzerine peygamber (sa llallahu aleyhi vesellem): “Kesinle şti”  buyurdu. Sonra bir cenaze daha geçti. Onun da fenal ığını söylediler. Rasûlullah  (sallallahu aleyhi vesellem) yine “Kesinle şti” buyurdu. Bunun üzerine Ömer ibnül  Hattab: Ne kesinle şti Ya Rasûlallah, diye sordu.  Peygamber (sallallahu aleyhi  vesellem)’de şöyle buyurdu:  “Önce geçen cenazeyi hay ırla yadettiniz, bu sebeple onun cennete girmesi  kesinleşti, ve di ğer geçen cenazeyi kötülü ğüyle yadettiniz, bu sebeple onun  cehenneme girmesi kesinle şti. Çünkü siz mü’minler yeryüzünde Allah’ ın  şahitlerisiniz.” (Buhari, Cenaiz 86, Müslim, Cenaiz 60)","Buhari, Cenaiz 86, Müslim, Cenaiz 60"
